season,weekday,destination_country,passengers_per_country
Winter,Friday,Sweden,11
Winter,Friday,United Kingdom,7
Winter,Friday,Switzerland,4
Winter,Friday,Brazil,4
Winter,Friday,India,3
Winter,Friday,South Africa,2
Winter,Friday,Panama,2
Winter,Friday,Hong Kong,2
Winter,Friday,United States,2
Winter,Friday,Germany,1
Winter,Friday,China,1
Winter,Friday,Malaysia,1
Winter,Monday,India,9
Winter,Monday,Sweden,8
Winter,Monday,Thailand,6
Winter,Monday,Brazil,6
Winter,Monday,Tanzania,6
Winter,Monday,Malaysia,5
Winter,Monday,South Korea,3
Winter,Monday,United States,2
Winter,Monday,China,1
Winter,Monday,United Kingdom,1
Winter,Saturday,United Kingdom,6
Winter,Saturday,Sweden,5
Winter,Saturday,France,3
Winter,Saturday,India,2
Winter,Saturday,Hong Kong,2
Winter,Saturday,Spain,2
Winter,Saturday,South Africa,1
Winter,Saturday,Italy,1
Winter,Saturday,Kenya,1
Winter,Sunday,South Africa,6
Winter,Sunday,Belgium,6
Winter,Sunday,Thailand,5
Winter,Sunday,Finland,4
Winter,Sunday,Costa Rica,4
Winter,Sunday,Switzerland,3
Winter,Sunday,Argentina,2
Winter,Sunday,Mauritius,2
Winter,Sunday,Bahrain,2
Winter,Sunday,Germany,1
Winter,Sunday,United States,1
Winter,Sunday,United Kingdom,1
Winter,Sunday,Norway,1
Winter,Sunday,Netherlands Antilles,1
Winter,Sunday,Cuba,1
Winter,Thursday,India,8
Winter,Thursday,United Arab Emirates,4
Winter,Thursday,Canada,3
Winter,Thursday,Spain,3
Winter,Thursday,France,2
Winter,Thursday,Panama,2
Winter,Thursday,Denmark,2
Winter,Thursday,United Kingdom,2
Winter,Thursday,United States,1
Winter,Thursday,Brazil,1
Winter,Thursday,Colombia,1
Winter,Thursday,Germany,1
Winter,Tuesday,Kenya,12
Winter,Tuesday,Sweden,12
Winter,Tuesday,France,7
Winter,Tuesday,Peru,7
Winter,Tuesday,Tanzania,6
Winter,Tuesday,South Africa,3
Winter,Tuesday,Portugal,2
Winter,Tuesday,Belgium,2
Winter,Tuesday,Chile,2
Winter,Tuesday,Philippines,2
Winter,Tuesday,Italy,2
Winter,Tuesday,Thailand,1
Winter,Wednesday,Thailand,6
Winter,Wednesday,India,4
Winter,Wednesday,Netherlands Antilles,4
Winter,Wednesday,Germany,4
Winter,Wednesday,Ghana,3
Winter,Wednesday,United States,2
Winter,Wednesday,Brazil,1
Winter,Wednesday,Tanzania,1
Winter,Wednesday,Poland,1
Winter,Wednesday,Israel,1
Summer,Friday,United Kingdom,73
Summer,Friday,United States,20
Summer,Friday,Germany,17
Summer,Friday,Finland,15
Summer,Friday,Philippines,9
Summer,Friday,Austria,8
Summer,Friday,Switzerland,7
Summer,Friday,Brazil,6
Summer,Friday,Taiwan,6
Summer,Friday,South Africa,5
Summer,Friday,Hungary,4
Summer,Friday,Kenya,4
Summer,Friday,Norway,3
Summer,Friday,Aruba,3
Summer,Friday,France,2
Summer,Friday,Denmark,2
Summer,Friday,Spain,2
Summer,Friday,United Arab Emirates,1
Summer,Friday,Peru,1
Summer,Friday,Thailand,1
Summer,Monday,United Kingdom,27
Summer,Monday,France,26
Summer,Monday,United Arab Emirates,23
Summer,Monday,Norway,17
Summer,Monday,Germany,15
Summer,Monday,Belgium,7
Summer,Monday,Philippines,7
Summer,Monday,Kuwait,5
Summer,Monday,Italy,5
Summer,Monday,Denmark,4
Summer,Monday,Aruba,4
Summer,Monday,United States,4
Summer,Monday,China,3
Summer,Monday,Spain,3
Summer,Monday,Canada,3
Summer,Monday,Portugal,2
Summer,Monday,Cuba,2
Summer,Monday,South Korea,2
Summer,Monday,Panama,2
Summer,Monday,Switzerland,1
Summer,Monday,Poland,1
Summer,Monday,Israel,1
Summer,Saturday,France,69
Summer,Saturday,Philippines,51
Summer,Saturday,Sweden,26
Summer,Saturday,Norway,19
Summer,Saturday,Italy,17
Summer,Saturday,United Kingdom,13
Summer,Saturday,Portugal,12
Summer,Saturday,United States,10
Summer,Saturday,Poland,9
Summer,Saturday,Spain,8
Summer,Saturday,Germany,7
Summer,Saturday,South Africa,6
Summer,Saturday,Argentina,6
Summer,Saturday,Brazil,6
Summer,Saturday,Belgium,6
Summer,Saturday,Japan,5
Summer,Saturday,Czech Republic,5
Summer,Saturday,China,5
Summer,Saturday,Austria,4
Summer,Saturday,United Arab Emirates,4
Summer,Saturday,Hungary,4
Summer,Saturday,Peru,3
Summer,Saturday,Singapore,3
Summer,Saturday,Saudi Arabia,3
Summer,Saturday,Switzerland,2
Summer,Saturday,Ukraine,2
Summer,Saturday,Canada,1
Summer,Saturday,Kuwait,1
Summer,Saturday,Suriname,1
Summer,Saturday,Taiwan,1
Summer,Sunday,Switzerland,26
Summer,Sunday,Germany,18
Summer,Sunday,United Kingdom,12
Summer,Sunday,United States,10
Summer,Sunday,Italy,10
Summer,Sunday,Philippines,8
Summer,Sunday,France,7
Summer,Sunday,Austria,6
Summer,Sunday,Brazil,5
Summer,Sunday,China,4
Summer,Sunday,Portugal,4
Summer,Sunday,Kuwait,4
Summer,Sunday,Czech Republic,4
Summer,Sunday,Canada,3
Summer,Sunday,Romania,3
Summer,Sunday,Sweden,3
Summer,Sunday,South Korea,3
Summer,Sunday,Nigeria,2
Summer,Sunday,Thailand,2
Summer,Sunday,Russia,2
Summer,Sunday,Ireland,2
Summer,Sunday,Poland,2
Summer,Sunday,Singapore,2
Summer,Sunday,Israel,2
Summer,Sunday,Hong Kong,1
Summer,Sunday,Taiwan,1
Summer,Sunday,Netherlands Antilles,1
Summer,Sunday,Spain,1
Summer,Sunday,Japan,1
Summer,Sunday,United Arab Emirates,1
Summer,Thursday,United Kingdom,48
Summer,Thursday,United States,14
Summer,Thursday,Germany,13
Summer,Thursday,Poland,12
Summer,Thursday,Kuwait,9
Summer,Thursday,Cuba,8
Summer,Thursday,Czech Republic,6
Summer,Thursday,Aruba,6
Summer,Thursday,Thailand,5
Summer,Thursday,Spain,5
Summer,Thursday,France,5
Summer,Thursday,South Korea,4
Summer,Thursday,Finland,4
Summer,Thursday,Colombia,3
Summer,Thursday,Canada,3
Summer,Thursday,Bahrain,3
Summer,Thursday,Hungary,2
Summer,Thursday,Russia,2
Summer,Thursday,Kenya,2
Summer,Thursday,Japan,2
Summer,Thursday,Philippines,2
Summer,Thursday,Greece,2
Summer,Thursday,China,1
Summer,Thursday,Portugal,1
Summer,Thursday,Norway,1
Summer,Thursday,Ghana,1
Summer,Thursday,Saudi Arabia,1
Summer,Thursday,South Africa,1
Summer,Thursday,Denmark,1
Summer,Tuesday,United Kingdom,48
Summer,Tuesday,Philippines,39
Summer,Tuesday,United States,31
Summer,Tuesday,Italy,14
Summer,Tuesday,France,11
Summer,Tuesday,Canada,11
Summer,Tuesday,Denmark,11
Summer,Tuesday,Spain,10
Summer,Tuesday,Switzerland,7
Summer,Tuesday,Germany,7
Summer,Tuesday,Hungary,4
Summer,Tuesday,Thailand,4
Summer,Tuesday,Sweden,4
Summer,Tuesday,South Africa,2
Summer,Tuesday,Israel,2
Summer,Tuesday,China,1
Summer,Tuesday,Nigeria,1
Summer,Tuesday,Russia,1
Summer,Tuesday,Chile,1
Summer,Wednesday,United Kingdom,31
Summer,Wednesday,France,27
Summer,Wednesday,United States,17
Summer,Wednesday,Germany,14
Summer,Wednesday,Kenya,10
Summer,Wednesday,Sweden,10
Summer,Wednesday,Norway,9
Summer,Wednesday,South Africa,8
Summer,Wednesday,Spain,8
Summer,Wednesday,Malaysia,7
Summer,Wednesday,Canada,6
Summer,Wednesday,Greece,6
Summer,Wednesday,Denmark,5
Summer,Wednesday,Italy,4
Summer,Wednesday,Hungary,4
Summer,Wednesday,Russia,4
Summer,Wednesday,Aruba,4
Summer,Wednesday,Netherlands Antilles,3
Summer,Wednesday,Taiwan,3
Summer,Wednesday,Peru,2
Summer,Wednesday,Israel,2
Summer,Wednesday,South Korea,1
Summer,Wednesday,China,1
Summer,Wednesday,Kuwait,1
Summer,Wednesday,Mexico,1
Spring,Friday,United Kingdom,80
Spring,Friday,Norway,72
Spring,Friday,Germany,51
Spring,Friday,Canada,44
Spring,Friday,United States,31
Spring,Friday,France,27
Spring,Friday,Spain,24
Spring,Friday,Denmark,23
Spring,Friday,Switzerland,21
Spring,Friday,Mexico,21
Spring,Friday,Poland,20
Spring,Friday,Sweden,20
Spring,Friday,Italy,16
Spring,Friday,China,15
Spring,Friday,Russia,14
Spring,Friday,Hungary,12
Spring,Friday,Philippines,12
Spring,Friday,Finland,11
Spring,Friday,Tanzania,10
Spring,Friday,Greece,8
Spring,Friday,India,7
Spring,Friday,Netherlands Antilles,6
Spring,Friday,South Africa,6
Spring,Friday,Nigeria,6
Spring,Friday,Peru,6
Spring,Friday,Israel,6
Spring,Friday,Malaysia,5
Spring,Friday,Hong Kong,4
Spring,Friday,Ghana,4
Spring,Friday,Austria,4
Spring,Friday,Japan,4
Spring,Friday,Singapore,4
Spring,Friday,South Korea,4
Spring,Friday,Belgium,4
Spring,Friday,Taiwan,4
Spring,Friday,United Arab Emirates,3
Spring,Friday,Romania,3
Spring,Friday,Ireland,3
Spring,Friday,Ukraine,2
Spring,Friday,Portugal,2
Spring,Friday,Brazil,2
Spring,Friday,Indonesia,2
Spring,Friday,Croatia,1
Spring,Friday,Uganda,1
Spring,Friday,Chile,1
Spring,Monday,United States,642
Spring,Monday,France,637
Spring,Monday,Italy,226
Spring,Monday,United Kingdom,165
Spring,Monday,Germany,154
Spring,Monday,China,133
Spring,Monday,Austria,87
Spring,Monday,Canada,68
Spring,Monday,Chile,62
Spring,Monday,United Arab Emirates,59
Spring,Monday,Japan,58
Spring,Monday,Sweden,53
Spring,Monday,Israel,53
Spring,Monday,Denmark,50
Spring,Monday,Norway,42
Spring,Monday,Poland,36
